index,Style,Stock,,,,,,,
19267,SET246,217.00,,,,,,,
19268,J0043,20.00,,,,,,,
19269,SET202,3.00,,,,,,,
19270,JNE1951,148.00,,,,,,,
19271,JNE3400,89.00,,,,,,,
19272,SET223,63.00,,,,,,,
19273,JNE3561,106.00,,,,,,,
19274,JNE3607,1128.00,,,,,,,
19275,J0294,30.00,,,,,,,
19276,JNE3701,757.00,,,,,,,
19277,JNE3633,113.00,,,,,,,
19278,J0342,105.00,,,,,,,
19279,JNE3617,568.00,,,,,,,
19280,JNE3610,71.00,,,,,,,
19281,J0296,28.00,,,,,,,
19282,J0305,25.00,,,,,,,
19283,SET209,212.00,,,,,,,
19284,SET221,189.00,,,,,,,
19285,SET147,26.00,,,,,,,
19286,J0006,874.00,,,,,,,
19287,JNE3429,35.00,,,,,,,
19288,NW008,340.00,,,,,,,
19289,NW016,146.00,,,,,,,
19290,J0113,30.00,,,,,,,
19291,BTM048,126.00,,,,,,,
19292,BTM044,92.00,,,,,,,
19293,BTM036,96.00,,,,,,,
19294,J0100,24.00,,,,,,,
19295,J0102,158.00,,,,,,,
19296,J0002,581.00,,,,,,,
19297,J0303,3.00,,,,,,,
19298,JNE3539,16.00,,,,,,,
19299,BL092,152.00,,,,,,,
19300,BL020,53.00,,,,,,,
19301,BL107,49.00,,,,,,,
19302,BL084,11.00,,,,,,,
19303,BL078,8.00,,,,,,,
19304,BL030,13.00,,,,,,,
19305,NW030,53.00,,,,,,,
19306,NW014,225.00,,,,,,,
19307,J0333,71.00,,,,,,,
19308,JNE3784,138.00,,,,,,,
19309,JNE3707,171.00,,,,,,,
19310,JNE3631,28.00,,,,,,,
19311,JNE3618,209.00,,,,,,,
19312,JNE3766,233.00,,,,,,,
19313,JNE3767,641.00,,,,,,,
19314,SET297,25.00,,,,,,,
19315,JNE3770,202.00,,,,,,,
19316,J0372,317.00,,,,,,,
19317,JNE3384,151.00,,,,,,,
19318,J0167,126.00,,,,,,,
19319,JNE3611,348.00,,,,,,,
